Date,Mean Temp (C),Max Temp (C),Min Temp (C),R. Humidity (%),Wind Speed (m/s),S. Pressure (kPa),Incoming Radiation (MJ/m²),Outgoing Longwave Radiation (Rnl),Net Radiation (MJ/m²/day),ET0 (mm/day)
31-07-1985,25.99,30.78,22.8,86.12,4.28,95.25,1.6658,-1.1201,0.1625,1.1462
01-08-1985,25.83,29.44,23.17,87.38,2.26,95.35,1.9328,-1.0584,0.4298,0.7089
02-08-1985,25.72,28.67,23.73,87.56,1.62,95.44,0.3387,-1.3436,-1.0828,0.1407
03-08-1985,25.87,30.11,22.91,84.44,3.99,95.53,1.4472,-1.1892,-0.0748,1.1517
04-08-1985,25.78,30.66,22.38,81.81,5.2,95.81,1.7971,-1.171,0.2128,1.7157
05-08-1985,26.0,30.88,22.32,82.31,5.01,95.83,2.1272,-1.0859,0.552,1.7093
06-08-1985,25.01,28.66,22.82,84.94,4.07,95.7,1.0428,-1.3116,-0.5086,1.0062
07-08-1985,25.01,28.2,22.83,86.06,4.23,95.56,0.8355,-1.3284,-0.6851,0.9065
08-08-1985,24.19,25.92,22.98,88.25,5.07,95.47,0.6039,-1.3861,-0.9211,0.7922
09-08-1985,22.89,24.41,21.65,89.69,6.52,95.45,0.6947,-1.4267,-0.8918,0.8111
10-08-1985,23.75,27.01,22.37,88.06,4.96,95.54,0.7309,-1.4057,-0.8428,0.8156
11-08-1985,24.92,28.65,22.53,86.69,3.92,95.53,1.41,-1.2168,-0.131,0.931
12-08-1985,24.69,27.01,22.53,89.56,3.41,95.57,1.6952,-1.1257,0.1796,0.7046
13-08-1985,25.44,29.68,22.69,86.94,3.57,95.64,0.985,-1.2599,-0.5015,0.7725
14-08-1985,25.13,28.54,22.5,88.06,3.36,95.53,1.5708,-1.1474,0.0621,0.7799
15-08-1985,24.42,27.04,22.23,90.44,3.09,95.48,1.3064,-1.2021,-0.1962,0.5122
16-08-1985,24.86,28.54,21.98,89.94,3.43,95.54,1.372,-1.1725,-0.116,0.6235
17-08-1985,24.51,27.27,22.2,90.12,3.4,95.66,0.9573,-1.2657,-0.5285,0.5008
18-08-1985,23.88,26.23,22.23,90.0,4.91,95.69,1.0143,-1.2984,-0.5174,0.708
19-08-1985,23.94,26.86,22.22,88.75,3.66,95.73,1.3522,-1.2505,-0.2093,0.701
20-08-1985,24.93,29.1,21.7,83.75,3.1,95.85,1.3789,-1.2581,-0.1963,0.9304
21-08-1985,25.15,29.26,21.9,84.25,2.57,95.95,1.4187,-1.2281,-0.1357,0.7842
22-08-1985,24.98,29.31,21.94,85.88,3.1,95.87,1.315,-1.2369,-0.2243,0.7996
23-08-1985,25.04,29.29,22.01,82.88,2.89,95.93,1.4956,-1.2412,-0.0896,0.9582
24-08-1985,25.15,29.8,21.55,82.31,2.84,95.92,1.6036,-1.2195,0.0153,1.0057
25-08-1985,25.19,29.89,21.62,82.44,2.7,95.94,1.3522,-1.2664,-0.2252,0.8991
26-08-1985,25.1,29.8,21.65,80.75,2.91,95.87,1.5492,-1.2568,-0.0639,1.0965
27-08-1985,24.98,29.87,21.66,79.56,3.09,95.9,1.7332,-1.2436,0.091,1.2636
28-08-1985,24.9,29.62,21.48,79.44,2.98,95.92,1.7919,-1.2334,0.1464,1.2428
29-08-1985,25.01,30.3,20.65,80.0,2.62,95.95,1.9518,-1.1816,0.3213,1.1414
30-08-1985,24.79,29.44,20.63,79.75,2.3,96.03,1.3038,-1.3318,-0.3279,0.8671
31-08-1985,24.14,27.76,21.18,82.31,2.62,95.98,1.5189,-1.2822,-0.1126,0.8806
01-09-1985,24.71,29.23,21.26,82.38,3.03,96.01,1.6511,-1.2247,0.0467,1.0518
02-09-1985,24.4,28.7,21.26,82.88,2.96,96.17,1.7496,-1.2124,0.1348,1.0184
03-09-1985,24.48,29.86,20.66,80.5,3.11,96.11,1.4792,-1.3044,-0.1655,1.1394
04-09-1985,25.21,30.41,21.28,78.75,3.26,95.97,1.3539,-1.315,-0.2725,1.286
05-09-1985,25.08,30.08,21.15,79.19,2.91,95.92,1.3859,-1.3054,-0.2383,1.1427
06-09-1985,25.23,30.4,21.44,79.0,2.63,95.96,1.728,-1.2257,0.1048,1.1523
07-09-1985,25.46,30.78,20.79,77.94,2.6,96.0,1.9336,-1.1766,0.3123,1.2516
08-09-1985,25.83,31.69,20.84,75.0,2.49,95.96,1.9596,-1.1956,0.3133,1.3794
09-09-1985,26.01,31.49,20.96,73.19,1.98,95.96,1.8636,-1.2305,0.2045,1.1986
10-09-1985,27.05,33.03,20.71,67.12,1.7,95.98,1.8334,-1.276,0.1357,1.2886
11-09-1985,26.75,33.0,21.81,69.0,2.55,95.93,1.7703,-1.2867,0.0765,1.7039
12-09-1985,25.9,32.09,20.95,71.56,3.36,95.78,1.9405,-1.2442,0.25,1.9565
